product_id,store_id,forecast_date,predicted_quantity_sold
P009,S002,2025-05-01,37
P009,S003,2025-05-01,39
P002,S004,2025-05-01,42
P001,S002,2025-05-01,32
P003,S001,2025-05-01,32
P003,S002,2025-05-01,34
P002,S002,2025-05-01,31
P003,S004,2025-05-01,40
P006,S004,2025-05-01,35
P006,S001,2025-05-01,29
P001,S005,2025-05-01,40
P002,S005,2025-05-01,40
P003,S003,2025-05-01,44
P010,S002,2025-05-01,24
P002,S001,2025-05-01,24
P001,S004,2025-05-01,35
P006,S001,2025-05-01,26
P007,S002,2025-05-01,31
P009,S001,2025-05-01,37
P007,S003,2025-05-01,33
P009,S001,2025-05-01,43
P002,S001,2025-05-01,25
P010,S001,2025-05-01,32
P005,S001,2025-05-01,36
P006,S002,2025-05-01,37
P005,S002,2025-05-01,43
P006,S003,2025-05-01,33
P008,S002,2025-05-01,28
P005,S004,2025-05-01,43
P006,S001,2025-05-01,26
P009,S005,2025-05-01,39
P002,S003,2025-05-01,26
P007,S001,2025-05-01,20
P008,S003,2025-05-01,31
P005,S002,2025-05-01,46
P005,S004,2025-05-01,50
P003,S001,2025-05-01,33
P002,S004,2025-05-01,29
P004,S004,2025-05-01,33
P007,S004,2025-05-01,41
P008,S003,2025-05-01,33
P006,S002,2025-05-01,34
P009,S005,2025-05-01,42
P004,S003,2025-05-01,30
P008,S003,2025-05-01,29
P008,S005,2025-05-01,31
P001,S003,2025-05-01,35
P003,S002,2025-05-01,34
P008,S005,2025-05-01,35
P002,S003,2025-05-01,38
P008,S004,2025-05-01,38
P010,S005,2025-05-01,31
P001,S002,2025-05-01,35
P002,S003,2025-05-01,24
P009,S004,2025-05-01,37
P009,S005,2025-05-01,40
P005,S002,2025-05-01,43
P001,S005,2025-05-01,36
P002,S005,2025-05-01,31
P007,S001,2025-05-01,24
P005,S003,2025-05-01,53
P004,S004,2025-05-01,46
P008,S003,2025-05-01,27
P004,S002,2025-05-01,42
P002,S003,2025-05-01,41
P008,S002,2025-05-01,29
P004,S001,2025-05-01,29
P009,S002,2025-05-01,32
P006,S005,2025-05-01,34
P004,S003,2025-05-01,47
P006,S005,2025-05-01,42
P003,S004,2025-05-01,36
P010,S004,2025-05-01,34
P004,S005,2025-05-01,40
P009,S003,2025-05-01,35
P004,S003,2025-05-01,42
P003,S002,2025-05-01,39
P001,S005,2025-05-01,39
