inventory_id,date,product_id,store_id,stock_on_hand,reorder_level,stockout_flag
IN0001,2025-03-29,P009,S002,48,53,1
IN0002,2025-04-18,P009,S003,81,68,0
IN0003,2025-01-04,P002,S004,204,40,0
IN0004,2025-03-19,P001,S002,203,68,0
IN0005,2025-03-03,P003,S001,140,34,0
IN0006,2025-01-29,P003,S002,177,49,0
IN0007,2025-02-02,P002,S002,122,44,0
IN0008,2025-02-04,P003,S004,152,25,0
IN0009,2025-03-04,P006,S004,241,27,0
IN0010,2025-03-07,P006,S001,192,38,0
IN0011,2025-04-02,P001,S005,139,54,0
IN0012,2025-04-07,P002,S005,87,42,0
IN0013,2025-01-02,P003,S003,209,61,0
IN0014,2025-01-19,P010,S002,172,25,0
IN0015,2025-03-27,P002,S001,200,39,0
IN0016,2025-01-19,P001,S004,92,39,0
IN0017,2025-02-11,P006,S001,68,48,0
IN0018,2025-01-09,P007,S002,215,36,0
IN0019,2025-03-30,P009,S001,206,61,0
IN0020,2025-01-20,P007,S003,80,61,0
IN0021,2025-01-27,P009,S001,190,30,0
IN0022,2025-02-18,P003,S001,58,48,0
IN0023,2025-04-07,P002,S001,30,37,1
IN0024,2025-04-24,P010,S001,245,49,0
IN0025,2025-04-09,P005,S001,218,28,0
IN0026,2025-04-02,P006,S002,78,32,0
IN0027,2025-01-08,P005,S002,167,53,0
IN0028,2025-04-16,P009,S003,82,69,0
IN0029,2025-01-09,P006,S003,129,34,0
IN0030,2025-03-05,P008,S002,126,58,0
IN0031,2025-04-23,P005,S004,76,50,0
IN0032,2025-04-05,P006,S001,188,27,0
IN0033,2025-01-24,P009,S005,139,30,0
IN0034,2025-02-13,P002,S003,24,29,1
IN0035,2025-04-25,P007,S001,73,47,0
IN0036,2025-03-14,P008,S003,196,33,0
IN0037,2025-01-13,P005,S002,118,44,0
IN0038,2025-04-10,P010,S002,141,66,0
IN0039,2025-01-25,P005,S004,182,42,0
IN0040,2025-04-03,P009,S005,81,41,0
IN0041,2025-01-05,P003,S001,235,27,0
IN0042,2025-01-31,P002,S004,179,59,0
IN0043,2025-02-27,P004,S004,249,37,0
IN0044,2025-02-02,P006,S003,139,49,0
IN0045,2025-02-16,P007,S004,92,28,0
IN0046,2025-04-02,P008,S003,161,61,0
IN0047,2025-03-25,P006,S002,117,35,0
IN0048,2025-04-29,P009,S005,124,27,0
IN0049,2025-04-15,P004,S003,142,52,0
IN0050,2025-03-15,P008,S003,48,33,0
IN0051,2025-02-08,P006,S001,214,49,0
IN0052,2025-02-26,P008,S005,245,36,0
IN0053,2025-04-01,P001,S003,189,33,0
IN0054,2025-01-17,P005,S001,226,64,0
IN0055,2025-04-21,P003,S002,44,29,0
IN0056,2025-02-20,P002,S003,158,58,0
IN0057,2025-02-03,P008,S005,235,39,0
IN0058,2025-04-23,P002,S003,57,32,0
IN0059,2025-04-17,P006,S001,152,50,0
IN0060,2025-03-31,P008,S004,165,30,0
IN0061,2025-04-21,P005,S001,56,37,0
IN0062,2025-02-02,P010,S005,47,29,0
IN0063,2025-01-31,P001,S002,224,41,0
IN0064,2025-03-03,P001,S003,133,64,0
IN0065,2025-02-16,P001,S003,64,56,0
IN0066,2025-01-23,P002,S003,81,53,0
IN0067,2025-02-04,P009,S004,134,27,0
IN0068,2025-03-05,P009,S005,75,64,0
IN0069,2025-03-03,P002,S001,117,64,0
IN0070,2025-04-21,P005,S002,110,37,0
IN0071,2025-01-29,P001,S005,52,30,0
IN0072,2025-01-10,P002,S005,235,43,0
IN0073,2025-03-17,P002,S004,99,64,0
IN0074,2025-02-07,P007,S001,111,57,0
IN0075,2025-02-06,P005,S003,78,65,0
IN0076,2025-03-31,P004,S004,32,67,1
IN0077,2025-02-10,P008,S003,64,49,0
IN0078,2025-02-23,P004,S002,200,66,0
IN0079,2025-02-18,P002,S003,119,51,0
IN0080,2025-01-13,P005,S004,185,31,0
IN0081,2025-04-25,P009,S005,152,67,0
IN0082,2025-02-01,P008,S002,64,55,0
IN0083,2025-03-29,P006,S002,42,66,1
IN0084,2025-04-30,P004,S001,157,56,0
IN0085,2025-04-22,P009,S002,126,54,0
IN0086,2025-01-12,P006,S005,58,55,0
IN0087,2025-01-30,P004,S003,101,60,0
IN0088,2025-04-20,P005,S003,21,38,1
IN0089,2025-01-17,P006,S005,96,53,0
IN0090,2025-04-19,P009,S001,31,63,1
IN0091,2025-04-25,P003,S004,213,56,0
IN0092,2025-04-28,P006,S001,32,51,1
IN0093,2025-03-14,P010,S004,132,65,0
IN0094,2025-01-03,P004,S005,36,64,1
IN0095,2025-02-24,P009,S003,242,58,0
IN0096,2025-01-15,P004,S003,207,48,0
IN0097,2025-02-17,P003,S002,128,59,0
IN0098,2025-04-09,P001,S005,89,43,0
IN0099,2025-01-25,P001,S003,177,31,0
IN0100,2025-04-06,P004,S004,93,65,0
