sales_id,date,product_id,store_id,quantity_sold,unit_price,discount_percent,revenue
SA0001,2025-03-29,P009,S002,28,2.99,10.0,75.35
SA0002,2025-04-18,P009,S003,53,2.99,10.0,142.62
SA0003,2025-01-04,P002,S004,64,14.99,5.0,911.39
SA0004,2025-03-19,P001,S002,40,8.99,5.0,341.62
SA0005,2025-03-03,P003,S001,18,3.49,15.0,53.4
SA0006,2025-01-29,P003,S002,19,3.49,20.0,53.05
SA0007,2025-02-02,P002,S002,9,14.99,5.0,128.16
SA0008,2025-02-04,P003,S004,69,3.49,10.0,216.73
SA0009,2025-03-04,P006,S004,56,5.99,20.0,268.35
SA0010,2025-03-07,P006,S001,46,5.99,20.0,220.43
SA0011,2025-04-02,P001,S005,66,8.99,0.0,593.34
SA0012,2025-04-07,P002,S005,55,14.99,5.0,783.23
SA0013,2025-01-02,P003,S003,7,3.49,0.0,24.43
SA0014,2025-01-19,P010,S002,6,3.99,20.0,19.15
SA0015,2025-03-27,P002,S001,15,14.99,0.0,224.85
SA0016,2025-01-19,P001,S004,24,8.99,15.0,183.4
SA0017,2025-02-11,P006,S001,11,5.99,15.0,56.01
SA0018,2025-01-09,P007,S002,23,7.99,10.0,165.39
SA0019,2025-03-30,P009,S001,29,2.99,20.0,69.37
SA0020,2025-01-20,P007,S003,12,7.99,10.0,86.29
SA0021,2025-01-27,P009,S001,31,2.99,5.0,88.06
SA0022,2025-02-18,P003,S001,21,3.49,15.0,62.3
SA0023,2025-04-07,P002,S001,67,14.99,20.0,803.46
SA0024,2025-04-24,P010,S001,36,3.99,5.0,136.46
SA0025,2025-04-09,P005,S001,54,12.49,0.0,674.46
SA0026,2025-04-02,P006,S002,70,5.99,10.0,377.37
SA0027,2025-01-08,P005,S002,57,12.49,15.0,605.14
SA0028,2025-04-16,P009,S003,34,2.99,10.0,91.49
SA0029,2025-01-09,P006,S003,16,5.99,20.0,76.67
SA0030,2025-03-05,P008,S002,67,4.49,20.0,240.66
SA0031,2025-04-23,P005,S004,66,12.49,15.0,700.69
SA0032,2025-04-05,P006,S001,14,5.99,5.0,79.67
SA0033,2025-01-24,P009,S005,16,2.99,5.0,45.45
SA0034,2025-02-13,P002,S003,33,14.99,20.0,395.74
SA0035,2025-04-25,P007,S001,11,7.99,15.0,74.71
SA0036,2025-03-14,P008,S003,28,4.49,10.0,113.15
SA0037,2025-01-13,P005,S002,27,12.49,0.0,337.23
SA0038,2025-04-10,P010,S002,16,3.99,20.0,51.07
SA0039,2025-01-25,P005,S004,56,12.49,10.0,629.5
SA0040,2025-04-03,P009,S005,79,2.99,5.0,224.4
SA0041,2025-01-05,P003,S001,33,3.49,20.0,92.14
SA0042,2025-01-31,P002,S004,23,14.99,20.0,275.82
SA0043,2025-02-27,P004,S004,24,11.99,15.0,244.6
SA0044,2025-02-02,P006,S003,42,5.99,20.0,201.26
